STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement_Flag,Quality_Flag
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110922 11:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110922 12:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110922 13:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110922 14:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 13:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 14:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 15:00,0.06, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 16:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 17:00,0.02, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 18:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 19:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 20:00,0.04, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 21:00,0.22, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 22:00,0.01, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110923 23:00,0.0,T, 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110924 00:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110924 01:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110924 02:00,0.16, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110924 03:00,0.17, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110924 04:00,0.05, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110929 01:00,0.03, , 
COOP:190770,BOSTON MA US,3.7,42.3606,-71.0106,20110929 02:00,0.02, , 
